field,replicate,architecture,target_su4_shot_gate_exposure,achieved_su4_shot_gate_exposure,achieved_modeled_entangling_exposure,achieved_training_shots,objective_queries,fidelity,zz_long_range_mae,energy_density_error,half_chain_entropy_error,joint_failure,physical_su4_blocks,independent_coordinates
1.0,80,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9619707040749365,0.08687754626802739,0.007271695419320601,0.02831727382405791,0.038029295925062434,26,225
1.0,80,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7928985146507053,0.13376012847329116,0.0330620909685746,0.20110643504729675,0.20710148534929518,15,225
1.0,81,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9605075654847731,0.08205068098877448,0.007911892115525454,0.012200137440141257,0.039492434515227326,26,225
1.0,81,MPS,2600000000,2601600000,7804800000,173440000,20672,0.8560968709188468,0.12962788722986004,0.02303104608712081,0.1268360023418334,0.14390312908115388,15,225
1.0,82,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.952243225605837,0.10492697202511783,0.008870090119674767,0.022925183211922384,0.04775677439416337,26,225
1.0,82,MPS,2600000000,2601600000,7804800000,173440000,20672,0.870835766086135,0.12808330625466727,0.02099734781528939,0.12004549107545348,0.1291642339138649,15,225
1.0,83,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9457316515366024,0.08846261114307902,0.011107974614781968,0.05669175128956194,0.05426834846339723,26,225
1.0,83,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7697348881862303,0.13451599394102678,0.03703054775542358,0.2231977950950893,0.23026511181376907,15,225
1.0,84,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9512962046941026,0.06197820473990412,0.011388527591160491,0.027760020461536805,0.048703795305898745,26,225
1.0,84,MPS,2600000000,2601600000,7804800000,173440000,20672,0.8653379821702812,0.12666752436966544,0.021947913423687737,0.10005957413924293,0.13466201782971776,15,225
1.0,85,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9674368080408853,0.06999783617848926,0.006545319279197326,0.01504019187263772,0.03256319195911439,26,225
1.0,85,MPS,2600000000,2601600000,7804800000,173440000,20672,0.8148074735333538,0.1332375093109353,0.0310853141747085,0.1982178327686055,0.18519252646664697,15,225
1.0,86,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.962808256423791,0.06621568268198477,0.009377674547147219,0.016745742982505307,0.03719174357620958,26,225
1.0,86,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7757274372262385,0.13453565040227203,0.03597852609105989,0.16587133544992982,0.22427256277376162,15,225
1.0,87,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.6954229373980505,0.1325492826949632,0.05532510527165235,0.2571343255579442,0.3045770626019494,26,225
1.0,87,MPS,2600000000,2601600000,7804800000,173440000,20672,0.846014696915046,0.12900824181923592,0.02582832280934877,0.11392711112644921,0.1539853030849544,15,225
1.0,88,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9039662492237617,0.11366367369135316,0.01759327259748167,0.03113289686022591,0.09603375077623844,26,225
1.0,88,MPS,2600000000,2601600000,7804800000,173440000,20672,0.7628036532684392,0.13412723071788202,0.03867935507610465,0.23175528195077982,0.23719634673156065,15,225
1.0,89,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.8579006285190168,0.13321448599590208,0.019859644304075053,0.1358170164605187,0.14209937148098362,26,225
1.0,89,MPS,2600000000,2601600000,7804800000,173440000,20672,0.953448768686503,0.09810174981233388,0.008585287026159794,0.08789979795985747,0.046551231313497254,15,225
1.1,80,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9403343531036704,0.05134318552133942,0.014344807829209216,0.014935911294686466,0.059665646896331026,26,225
1.1,80,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9421789493831149,0.051000576578307685,0.012228212004028238,0.07626065040010133,0.057821050616884806,15,225
1.1,81,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9591625968818898,0.050481574852589105,0.009409184108307489,0.0011785805627326784,0.04083740311810857,26,225
1.1,81,MPS,2600000000,2601600000,7804800000,173440000,20672,0.9124581024812164,0.05413072849404828,0.015844639710071995,0.1535519568150554,0.08754189751878394,15,225
1.1,82,MERA_PM225,2600000000,2604160000,7812480000,100160000,17008,0.9276628172043454,0.05239707162990433,0.013778599828219829,0.05903102843186492,0.07233718279565571,26,225
1.1,82,MPS,2600000000,2601600000,7804800000,173440000,20672,0.8615379185655105,0.05509354116723701,0.02806895517730945,0.08500253026756155,0.13846208143448857,15,225
